product,year,export,percentage,sum
copper,2006,4176,79,5255
copper,2007,8560,81,10505
copper,2008,6473,76,8519
copper,2009,10465,80,13027
copper,2010,14977,86,17325
copper,2011,15421,83,18629
copper,2012,14805,82,18079
copper,2013,15183,80,19088
copper,2014,14012,76,18437
others,2006,1079,21,5255
others,2007,1945,19,10505
others,2008,2046,24,8519
others,2009,2562,20,13027
others,2010,2348,14,17325
others,2011,3208,17,18629
others,2012,3274,18,18079
others,2013,3905,20,19088
others,2014,4425,24,18437
