X,Y,Z,color
-8.857082873619395613e+00,1.245048568640430986e+01,-4.388853383451781554e+00,9.884834396771559284e+00
5.056922895878759761e+00,2.113376087779599288e-01,-1.027600210311226014e+01,1.145288995834808610e+01
-5.887992472065379346e+00,9.992350113001677414e+00,-8.564591570207472415e+00,1.039329996274366508e+01
-8.979766158007233656e+00,1.488417820976202144e+01,-4.042623766583205658e+00,9.847791994687710826e+00
-6.547309819097035799e+00,9.234840725059025868e-01,5.737069103498366296e+00,8.705241396168172940e+00
-2.100868007320352504e+00,1.846995114349833145e+01,-1.059348768972902022e+01,1.079979758220599706e+01
-7.351356592459548978e+00,1.092170974934913552e+01,4.903284089574597715e+00,8.836551285007848477e+00
1.117733599651139009e+01,6.438820148400763443e-01,6.864897931091467065e+00,1.311715150416481102e+01
4.632466931009977529e+00,4.712685850337644311e+00,1.299361006071009861e+01,1.379469652716897166e+01
-3.787596284614999309e+00,2.002718962497357325e+01,7.414876231229408532e+00,8.326240156257815883e+00
1.125007554461254600e+01,1.222871439409316174e+01,-4.652684549591008079e+00,1.217422167029548419e+01
-9.339741424979143503e+00,2.256923923144895205e+00,-2.608274920964366306e+00,9.697106163634753528e+00
-8.066111294674408683e+00,6.038434547891791127e+00,-6.021949213841874204e+00,1.006608284051769786e+01
8.668351284993375927e+00,9.590776143070167237e+00,1.026566845024372476e+01,1.343593177752758905e+01
3.339963528188586217e+00,4.399514546223397549e-01,-4.220114059933535167e+00,5.381888056108065754e+00
4.050272058074606107e+00,8.643925785888935565e+00,-3.770360575999195607e+00,5.533563283949040290e+00
9.286311335944968937e-01,1.027863134412866053e+01,-4.814197043197317782e+00,4.902942886982347481e+00
1.255936218782515645e+01,5.117235380905875708e+00,-8.445625132718739825e-02,1.255964615040410060e+01
1.045388616113067393e+01,1.236141900613171885e+01,-5.985871507097813016e+00,1.204634357676074607e+01
1.214820836827617079e+01,1.581804251143571349e+01,4.375195384437072121e+00,1.291206030078293310e+01
2.789307105699220024e+00,4.952518706218345557e+00,1.365364766822723475e+01,1.393564956426470935e+01
1.161463139696833835e+01,1.303049790587974144e+01,-3.875919865922710983e+00,1.224428100357456728e+01
-8.471073138745941478e+00,1.343206710223857314e+01,3.218052433584325023e+00,9.061729503096030314e+00
1.060475081810764841e+01,1.991934632370566050e+01,-5.761324155153440429e+00,1.206870315878675193e+01
5.231471678903138134e+00,1.634379951322532065e+01,-2.566474032037258546e+00,5.827099182636863439e+00
-2.679545443366794455e+00,1.781525066559012771e+01,-1.040398397677251907e+01,1.074350251882536966e+01
5.917682734669856615e+00,1.029881807716177811e+01,-1.321590357284473605e+00,6.063461884161308824e+00
